session_id,player_id,game_title,date,session_duration_min,in_game_purchases_usd,level,platform,region,player_type,account_age_category,achievement_count,social_interactions,churn_flag
S00000001,P00010000,Mythic Quest,2024-04-26,101,,9,Xbox,NA,,new,19,31,0
S00000002,P00010000,Mythic Quest,2024-05-01,145,0,10,Xbox,NA,,new,18,36,0
S00000003,P00010000,Mythic Quest,2024-05-25,,0,13,Xbox,NA,,new,27,45,0
S00000004,P00010000,Mythic Quest,2024-05-27,27,0,15,Xbox,NA,,new,-1,4,0
S00000005,P00010000,Mythic Quest,2024-06-03,134,,15,Xbox,NA,,new,36,20,0
S00000006,P00010000,Mythic Quest,2024-07-05,155,,22,Xbox,NA,,new,,67,0
S00000007,P00010000,Mythic Quest,2024-07-08,138,5.52,21,Xbox,NA,,new,49,28,0
S00000008,P00010001,Mythic Quest,2024-05-05,137,0,32,,ASIA,PREMIUM,new,6,4,0
S00000009,P00010001,Mythic Quest,2024-05-13,25,13.71,33,,ASIA,PREMIUM,new,24,24,0
S00000010,P00010001,Mythic Quest,2024-05-18,10,,MAX,,ASIA,PREMIUM,new,14,43,0
S00000011,P00010001,Mythic Quest,2024-06-01,69,17.06,39,,ASIA,PREMIUM,new,47,40,0
S00000012,P00010002,Mythic Quest,2024-05-10,164,,11,Xbox,SA,free,Intermediate,27,26,0
S00000013,P00010002,Mythic Quest,2024-06-10,167,6.89,13,Xbox,SA,free,Intermediate,-1,28,0
S00000014,P00010002,Mythic Quest,2024-07-04,80,,16,Xbox,SA,free,Intermediate,46,43,0
S00000015,P00010002,Mythic Quest,2024-07-05,193,0,19,Xbox,SA,free,Intermediate,21,,No
S00000016,P00010002,Mythic Quest,2024-07-09,160,,19,Xbox,SA,free,Intermediate,46,8,0
S00000017,P00010002,Mythic Quest,2024-07-11,153,,22,Xbox,SA,free,Intermediate,30,56,0
S00000018,P00010003,Mythic Quest,2024-04-17,41,,27,PLAYSTATION,na,free,New,24,8,No
S00000019,P00010003,Mythic Quest,2024-04-25,121,,28,PLAYSTATION,na,free,New,27,2,0
S00000020,P00010003,Mythic Quest,2024-05-24,71,,31,PLAYSTATION,na,free,New,11,15,0
S00000021,P00010003,Mythic Quest,2024-05-28,101,0,33,PLAYSTATION,na,free,New,23,18,0
S00000022,P00010003,Mythic Quest,2024-06-04,43,15.65,36,PLAYSTATION,na,free,New,41,0,0
S00000023,P00010003,Mythic Quest,2024-06-11,156,0,36,PLAYSTATION,na,free,New,47,29,0
